"Dataset","Approach","Model","Epitopes","Feature","accuracy","kap","sens","spec","f_meas","precision","recall","bal_accuracy","roc_auc","pr_auc","mn_log_loss"
"CDR3","Combined","Model 1","All","all.features",0.657,0.233,0.509,0.728,0.491,0.475,0.509,0.619,0.664,0.556,0.636
"CDR3","Combined","Model 1","All","pca.features",0.589,0.135,0.527,0.619,0.455,0.4,0.527,0.573,0.608,0.498,0.666
"CDR3","Combined","Model 1","All","tuned.features",0.665,0.234,0.477,0.756,0.481,0.485,0.477,0.616,0.662,0.555,0.636
"CDR3","Combined","Model 2","All","all.features",0.728,0.068,0.414,0.75,0.165,0.103,0.414,0.582,0.624,0.188,0.635
"CDR3","Combined","Model 2","All","pca.features",0.617,0.039,0.503,0.625,0.145,0.085,0.503,0.564,0.6,0.142,0.666
"CDR3","Combined","Model 2","All","tuned.features",0.73,0.07,0.416,0.752,0.166,0.104,0.416,0.584,0.624,0.188,0.636
"CDR3","Structure","Model 1","All","all.features",0.64,0.196,0.486,0.714,0.468,0.451,0.486,0.6,0.649,0.522,0.648
"CDR3","Structure","Model 1","All","pca.features",0.589,0.135,0.527,0.619,0.455,0.4,0.527,0.573,0.608,0.498,0.666
"CDR3","Structure","Model 1","All","tuned.features",0.64,0.195,0.482,0.716,0.466,0.451,0.482,0.599,0.649,0.522,0.647
"CDR3","Structure","Model 2","All","all.features",0.699,0.053,0.42,0.718,0.153,0.093,0.42,0.569,0.597,0.146,0.658
"CDR3","Structure","Model 2","All","pca.features",0.617,0.039,0.503,0.625,0.145,0.085,0.503,0.564,0.6,0.142,0.666
"CDR3","Structure","Model 2","All","tuned.features",0.701,0.053,0.419,0.721,0.153,0.094,0.419,0.57,0.597,0.145,0.658
"CDR3","Sequence","Model 1","All","both",0.638,0.178,0.452,0.727,0.448,0.444,0.452,0.59,0.646,0.551,0.641
"CDR3","Sequence","Model 1","All","cdr3",0.537,0.064,0.533,0.539,0.429,0.358,0.533,0.536,0.559,0.431,0.684
"CDR3","Sequence","Model 1","All","full",0.639,0.179,0.448,0.731,0.447,0.446,0.448,0.59,0.648,0.55,0.641
"CDR3","Sequence","Model 2","All","both",0.725,0.068,0.42,0.746,0.165,0.103,0.42,0.583,0.625,0.191,0.636
"CDR3","Sequence","Model 2","All","cdr3",0.571,0.025,0.517,0.575,0.135,0.077,0.517,0.546,0.57,0.139,0.67
"CDR3","Sequence","Model 2","All","full",0.722,0.065,0.418,0.743,0.163,0.101,0.418,0.58,0.625,0.177,0.644
"Full","Combined","Model 1","All","all.features",0.632,0.182,0.489,0.699,0.458,0.431,0.489,0.594,0.637,0.517,0.648
"Full","Combined","Model 1","All","pca.features",0.558,0.1,0.552,0.561,0.442,0.369,0.552,0.556,0.585,0.45,0.679
"Full","Combined","Model 1","All","tuned.features",0.635,0.184,0.486,0.704,0.458,0.433,0.486,0.595,0.637,0.517,0.648
"Full","Combined","Model 2","All","all.features",0.696,0.059,0.446,0.713,0.158,0.096,0.446,0.58,0.617,0.166,0.65
"Full","Combined","Model 2","All","pca.features",0.597,0.033,0.511,0.603,0.139,0.081,0.511,0.557,0.598,0.113,0.677
"Full","Combined","Model 2","All","tuned.features",0.706,0.064,0.445,0.723,0.162,0.099,0.445,0.584,0.618,0.168,0.649
"Full","Structure","Model 1","All","all.features",0.635,0.189,0.496,0.7,0.463,0.435,0.496,0.598,0.633,0.484,0.657
"Full","Structure","Model 1","All","pca.features",0.558,0.1,0.552,0.561,0.442,0.369,0.552,0.556,0.585,0.45,0.679
"Full","Structure","Model 1","All","tuned.features",0.636,0.188,0.491,0.703,0.462,0.435,0.491,0.597,0.634,0.484,0.657
"Full","Structure","Model 2","All","all.features",0.667,0.047,0.455,0.681,0.149,0.089,0.455,0.568,0.592,0.116,0.672
"Full","Structure","Model 2","All","pca.features",0.597,0.033,0.511,0.603,0.139,0.081,0.511,0.557,0.598,0.113,0.677
"Full","Structure","Model 2","All","tuned.features",0.673,0.049,0.452,0.688,0.15,0.09,0.452,0.57,0.595,0.117,0.671
"Full","Sequence","Model 1","All","both",0.615,0.134,0.44,0.697,0.421,0.404,0.44,0.569,0.613,0.508,0.657
"Full","Sequence","Model 1","All","cdr3",0.524,0.043,0.526,0.524,0.413,0.339,0.526,0.525,0.536,0.377,0.69
"Full","Sequence","Model 1","All","full",0.619,0.138,0.437,0.704,0.422,0.407,0.437,0.57,0.618,0.507,0.656
"Full","Sequence","Model 2","All","both",0.704,0.067,0.455,0.721,0.164,0.1,0.455,0.588,0.621,0.179,0.649
"Full","Sequence","Model 2","All","cdr3",0.559,0.023,0.525,0.562,0.132,0.076,0.525,0.543,0.564,0.12,0.679
"Full","Sequence","Model 2","All","full",0.721,0.07,0.436,0.74,0.166,0.103,0.436,0.588,0.62,0.155,0.652
